TRACE #1
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 165.0, 'x': 70.0, 'tmp': 1.0}
{'z': 165.0, 'x': 70.0, 'tmp': 1.0}
{'z': 165.0, 'x': 71.0, 'tmp': 1.0}
{'z': 165.0, 'x': 71.0, 'tmp': 1.0}
{'z': 165.0, 'x': 72.0, 'tmp': 1.0}
{'z': 165.0, 'x': 72.0, 'tmp': 1.0}
{'z': 165.0, 'x': 73.0, 'tmp': 1.0}
{'z': 165.0, 'x': 73.0, 'tmp': 1.0}
{'z': 165.0, 'x': 74.0, 'tmp': 1.0}
{'z': 165.0, 'x': 74.0, 'tmp': 1.0}
{'z': 165.0, 'x': 75.0, 'tmp': 1.0}
{'z': 165.0, 'x': 75.0, 'tmp': 1.0}
{'z': 165.0, 'x': 76.0, 'tmp': 1.0}
{'z': 165.0, 'x': 76.0, 'tmp': 0.0}
{'z': 165.0, 'x': 75.0, 'tmp': 0.0}
{'z': 164.0, 'x': 75.0, 'tmp': 0.0}
{'z': 164.0, 'x': 75.0, 'tmp': 1.0}
{'z': 164.0, 'x': 76.0, 'tmp': 1.0}
{'z': 164.0, 'x': 76.0, 'tmp': 1.0}
{'z': 164.0, 'x': 77.0, 'tmp': 1.0}
{'z': 164.0, 'x': 77.0, 'tmp': 1.0}
{'z': 164.0, 'x': 78.0, 'tmp': 1.0}
{'z': 164.0, 'x': 78.0, 'tmp': 1.0}
{'z': 164.0, 'x': 79.0, 'tmp': 1.0}
{'z': 164.0, 'x': 79.0, 'tmp': 0.0}
{'z': 164.0, 'x': 78.0, 'tmp': 0.0}
{'z': 163.0, 'x': 78.0, 'tmp': 0.0}
{'z': 163.0, 'x': 78.0, 'tmp': 0.0}
{'z': 163.0, 'x': 77.0, 'tmp': 0.0}
{'z': 162.0, 'x': 77.0, 'tmp': 0.0}
{'z': 162.0, 'x': 77.0, 'tmp': 0.0}
{'z': 162.0, 'x': 76.0, 'tmp': 0.0}
{'z': 161.0, 'x': 76.0, 'tmp': 0.0}
{'z': 161.0, 'x': 76.0, 'tmp': 0.0}
{'z': 161.0, 'x': 75.0, 'tmp': 0.0}
{'z': 160.0, 'x': 75.0, 'tmp': 0.0}
{'z': 160.0, 'x': 75.0, 'tmp': 0.0}
{'z': 160.0, 'x': 74.0, 'tmp': 0.0}
{'z': 159.0, 'x': 74.0, 'tmp': 0.0}
{'z': 159.0, 'x': 74.0, 'tmp': 1.0}
